epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,832.575,1.09732,2.69815,1.36602,0.79731,0.31486,0.29324,0.18895,1.79837,3.0884,1.95089,0.000174149,0.000174149,0.000174149
2,1682.91,0.93724,1.52602,1.22338,0.72641,0.43016,0.40997,0.27335,1.67522,2.90571,1.85656,0.000234153,0.000234153,0.000234153
3,2561.54,0.84928,1.26512,1.16351,0.74051,0.44354,0.44011,0.31451,1.62115,2.45688,1.77445,0.000178437,0.000178437,0.000178437
